date,humidity_mean,pressure_mean,temperature_mean,wind_direction_mean,wind_speed,weather_desc_cat_mean,humidity_min,pressure_min,temperature_min,wind_direction_min,wind_speed,weather_desc_cat_min,humidity_max,pressure_max,temperature_max,wind_direction_max,wind_speed,weather_desc_cat_max,humidity_median,pressure_median,temperature_median,wind_direction_median,wind_speed,weather_desc_cat_median,humidity_std,pressure_std,temperature_std,wind_direction_std,wind_speed,weather_desc_cat_std
2013-06-04,82.9,1010.0,295.2925,144.85,2.5,3.05,68,1009,293.51,0.0,0.0,1,94,1011,298.02,280.0,7.0,6,83.0,1010.0,294.88,195.0,3.0,3.0,7.210372645308322,0.6488856845230494,1.4896904482404754,100.2414322365862,1.9867985355975653,1.6050905860647504
2013-06-05,49.95454545454545,1014.2727272727273,292.4654545454545,239.0,2.227272727272727,1.9545454545454546,31,1009,287.19,0.0,0.0,1,80,1017,297.15,360.0,4.0,4,48.0,1015.0,292.325,293.0,2.0,2.0,12.707243051662545,1.856310169634222,3.398677231866384,123.83014480289023,1.2317938209440804,0.7854190708679775
2013-06-06,41.458333333333336,1019.7083333333334,291.59166666666664,164.70833333333334,1.375,1.75,28,1016,285.32,16.0,0.0,1,73,1022,295.78,346.0,3.0,2,38.0,1020.0,292.595,135.0,1.0,2.0,13.041669560586795,1.627993341153669,3.5485853478554636,99.95324087951747,0.7109393663377318,0.44232586846469135
2013-06-07,79.41666666666667,1018.625,290.39166666666665,126.04166666666667,1.2916666666666667,1.6666666666666667,54,1016,286.96,90.0,0.0,1,100,1020,294.22,180.0,3.0,4,82.0,1019.0,290.72,135.0,1.0,1.0,13.764847056642273,1.2091139407595652,2.672869597278892,23.931930946761895,0.8064504441319255,0.9168313422570847
2013-06-08,94.625,1011.625,289.37958333333336,112.58333333333333,1.9166666666666667,3.375,86,1005,288.76,30.0,0.0,3,100,1017,290.63,180.0,5.0,4,95.0,1012.0,289.20000000000005,135.0,1.5,3.0,3.7510867990374597,3.474284411776395,0.42932180255017605,40.07266949654977,1.4116492564332,0.49453535504684026
2013-06-09,83.25,1006.9583333333334,291.7245833333333,245.58333333333334,1.1666666666666667,3.375,58,1000,286.98,0.0,0.0,2,96,1013,297.66,342.0,2.0,4,93.5,1008.0,288.945,241.5,1.0,4.0,15.526275064911879,4.76836647507077,4.339123312742851,77.67598065692182,0.6370220572706061,0.7696696072652383
2013-06-10,72.875,1019.625,294.82625,238.625,1.1666666666666667,2.125,41,1014,288.73,90.0,0.0,1,94,1033,300.15,332.0,4.0,4,76.5,1019.5,294.53,256.5,1.0,2.0,18.082690498158005,4.5186810311051495,4.081308200863405,74.09266378047799,0.9630868246861535,0.9469631093315001
2013-06-11,87.20833333333333,1018.5833333333334,292.65289583333333,134.625,1.3333333333333333,2.4583333333333335,65,1012,291.12,11.0,0.0,1,98,1034,297.15,293.0,4.0,4,89.0,1019.0,292.45000000000005,135.0,1.0,3.0,9.198200044463654,4.085144525852359,1.3993970594444707,61.357691484832,1.090140264874869,0.9770927002733856
2013-06-12,82.58333333333333,1006.625,294.5883333333333,204.04166666666666,1.7083333333333333,3.0416666666666665,54,1002,290.55,3.0,0.0,1,98,1016,300.03,338.0,5.0,4,94.5,1006.0,293.13,225.0,1.5,3.0,16.565854527668773,3.4992235163520595,3.589245611263036,88.02197312957254,1.545798419465872,1.0417028979206269
2013-06-13,58.833333333333336,1008.5,295.0004166666667,266.625,2.5833333333333335,1.875,40,1003,292.11,0.0,0.0,1,78,1022,297.88,344.0,6.0,2,59.5,1008.0,294.925,291.0,2.0,2.0,11.838282288247393,5.0990195135928245,2.0418416221991897,87.03463203755757,1.3160106602801567,0.3378319623460881
2013-06-14,78.5,1006.4166666666666,290.8338958333333,167.91666666666666,1.8333333333333333,2.625,45,996,289.59,90.0,0.0,1,95,1023,295.52,347.0,6.0,4,79.5,1007.0,290.685,133.5,1.0,3.0,11.912726114465183,6.697933923276632,1.238256277287851,81.54588821061411,1.9261736493723072,1.3125646981983485
2013-06-15,81.6086956521739,1004.3478260869565,288.86652173913046,193.2608695652174,2.869565217391304,3.782608695652174,57,997,284.82,10.0,0.0,3,100,1009,295.47,360.0,14.0,4,87.0,1005.0,287.94,159.0,1.0,4.0,13.445983281380428,4.0632353393478065,3.547458256139364,147.3191394685529,3.4942075161627,0.42174116783664994
2013-06-16,70.20833333333333,1013.2083333333334,294.1487499999999,245.5,1.4166666666666667,3.9166666666666665,34,1010,287.58,38.0,0.0,2,99,1016,300.27,358.0,4.0,4,78.5,1013.0,294.28,309.5,1.0,4.0,26.363642894461044,1.6934443076724601,5.067770552182213,115.00585996412077,1.212853862900895,0.408248290463863
2013-06-17,71.16666666666667,1012.5,294.4825,203.875,1.2916666666666667,3.875,48,1007,287.08,29.0,0.0,1,96,1015,300.8,330.0,4.0,4,74.0,1014.0,293.33000000000004,219.5,1.0,4.0,15.771925157963627,2.8892604740584384,4.873590097123759,85.65720990492073,1.1220775245117838,0.6123724356957945
2013-06-18,73.125,1011.0,297.27125,170.79166666666666,1.6666666666666667,3.9583333333333335,49,1008,291.61,2.0,0.0,3,97,1013,302.96,328.0,6.0,4,75.5,1011.0,297.755,218.0,1.0,4.0,18.25498740666208,1.0215078369105064,4.141474545743763,120.92073550620803,1.7610932046210157,0.2041241452319315
2013-06-19,70.16666666666667,1011.2083333333334,295.8097916666666,116.875,2.7083333333333335,3.5833333333333335,49,1010,290.97,2.0,1.0,1,93,1012,300.63,360.0,5.0,4,69.0,1011.0,295.8483333335,82.5,2.5,4.0,15.075654623227496,0.7210600087592297,2.9746609562937953,109.00830143896701,1.5174110293140937,0.928611242975073
